Protein_UniProt:Q9BYF1
Protein_UniProt:Q5T3J3
Protein_UniProt:Q8NCH0
Protein_UniProt:P25105
Protein_UniProt:P13807
Protein_UniProt:A1L390
Protein_UniProt:O43300
Protein_UniProt:Q8TE82
Protein_UniProt:O94979
Protein_UniProt:Q7Z460
Protein_UniProt:Q8NAN2
Protein_UniProt:Q9NP79
Protein_UniProt:Q9P2S5
Protein_UniProt:Q3B7S5
Protein_UniProt:Q6W2J9
Protein_UniProt:Q8NEE6
Protein_UniProt:Q9NUN7
Protein_UniProt:Q96SE7
Protein_UniProt:P61587
Protein_UniProt:Q969W1
Protein_UniProt:Q9Y5W7
Protein_UniProt:Q15119
Protein_UniProt:P67870
Protein_UniProt:P17022
Protein_UniProt:Q3ZCW2
Protein_UniProt:Q9P2G3
Protein_UniProt:Q6PI97
Protein_UniProt:P19957
Protein_UniProt:Q7L3B6
Protein_UniProt:Q9Y6J9
Protein_UniProt:Q8IWV8
Protein_UniProt:Q9UKI3
Protein_UniProt:O95183
Protein_UniProt:Q86WI3
Protein_UniProt:O15273
Protein_UniProt:Q13351
Protein_UniProt:Q7Z6W7
Protein_UniProt:Q9UNF1
Protein_UniProt:Q8N9V3
Protein_UniProt:Q5T2E6
Protein_UniProt:Q6ZQN5
Protein_UniProt:Q9HCR9
Protein_UniProt:Q9BTT6
Protein_UniProt:Q8N126
Protein_UniProt:Q96PE7
Protein_UniProt:Q8WW33
Protein_UniProt:Q9H8N7
Protein_UniProt:Q9BZJ6
Protein_UniProt:Q96BW9
Protein_UniProt:A8MTQ0
Protein_UniProt:Q96FA3
Protein_UniProt:O43491
Protein_UniProt:Q9NY72
Protein_UniProt:P37275
Protein_UniProt:O15260
Protein_UniProt:Q96JN0
Protein_UniProt:O14815
Protein_UniProt:Q96RU2
Protein_UniProt:Q96JI7
Protein_UniProt:Q8IWS0
Protein_UniProt:Q15628
Protein_UniProt:Q15758
Protein_UniProt:O43868
Protein_UniProt:O75164
Protein_UniProt:P42694
Protein_UniProt:Q8NA75
Protein_UniProt:P53708
Protein_UniProt:Q9NWS1
Protein_UniProt:Q9Y5K6
Protein_UniProt:O95696
Protein_UniProt:P51116
Protein_UniProt:P02545
Protein_UniProt:Q9Y252
Protein_UniProt:Q96LI5
Protein_UniProt:Q9Y6A4
Protein_UniProt:P14678
Protein_UniProt:P24864
Protein_UniProt:P08243
Protein_UniProt:Q15370
Protein_UniProt:P22626
Protein_UniProt:Q9H9Y4
Protein_UniProt:O95149
Protein_UniProt:Q52LR7
Protein_UniProt:Q86UK7
Protein_UniProt:Q8N960
Protein_UniProt:Q9BW85
Protein_UniProt:Q9H6R4
Protein_UniProt:Q99714
Protein_UniProt:Q8N371
Protein_UniProt:Q06546
Protein_UniProt:Q96T60
Protein_UniProt:Q9GZS3
Protein_UniProt:Q92841
Protein_UniProt:Q8WW01
Protein_UniProt:O60762
Protein_UniProt:P60896
Protein_UniProt:Q86US8
Protein_UniProt:Q96A35
Protein_UniProt:Q9H6R0
Protein_UniProt:Q9UK61
Protein_UniProt:Q9NXX6
Protein_UniProt:O43795
Protein_UniProt:Q6IPU0
Protein_UniProt:P30566
Protein_UniProt:Q05682
Protein_UniProt:Q8IWV2
Protein_UniProt:Q01196
Protein_UniProt:Q8TE02
Protein_UniProt:Q96I59
Protein_UniProt:Q9Y3A5
Protein_UniProt:Q9NRX2
Protein_UniProt:Q12962
Protein_UniProt:O15226
Protein_UniProt:Q16832
Protein_UniProt:O43462
Protein_UniProt:Q9P0U3
Protein_UniProt:Q9BZR9
Protein_UniProt:Q05D32
Protein_UniProt:O95139
Protein_UniProt:P61077
Protein_UniProt:Q9UJK0
Protein_UniProt:Q9HCM1
Protein_UniProt:Q96T76
Protein_UniProt:Q9UHI6
Protein_UniProt:Q9Y6Y9
Protein_UniProt:Q9BY42
Protein_UniProt:Q9BUR4
Protein_UniProt:Q9BZE2
Protein_UniProt:Q00610
Protein_UniProt:P24941
Protein_UniProt:O43583
Protein_UniProt:O95363
Protein_UniProt:Q8WVC0
Protein_UniProt:Q5JS54
Protein_UniProt:O95163
Protein_UniProt:Q6PD74
Protein_UniProt:Q9H741
Protein_UniProt:Q86XI2
Protein_UniProt:O00410
Protein_UniProt:P18615
Protein_UniProt:O75396
Protein_UniProt:Q8N766
Protein_UniProt:Q8NEZ5
Protein_UniProt:Q5TBB1
Protein_UniProt:Q14232
Protein_UniProt:Q9NQW6
Protein_UniProt:Q9NX07
Protein_UniProt:P30085
Protein_UniProt:Q93008
Protein_UniProt:Q00839
Protein_UniProt:Q96DI7
Protein_UniProt:O94829
Protein_UniProt:Q12788
Protein_UniProt:P47756
Protein_UniProt:Q9UM13
Protein_UniProt:A5YKK6
Protein_UniProt:Q6IA86
Protein_UniProt:Q92759
Protein_UniProt:P49711
Protein_UniProt:P33991
Protein_UniProt:Q9NXG2
Protein_UniProt:Q14186
Protein_UniProt:Q8TAF3
Protein_UniProt:Q6P4R8
Protein_UniProt:Q9UKL0
Protein_UniProt:O00716
Protein_UniProt:Q15427
Protein_UniProt:Q8TBC4
Protein_UniProt:O60925
Protein_UniProt:Q9NX20
Protein_UniProt:Q15717
Protein_UniProt:Q9UKK6
Protein_UniProt:P09001
Protein_UniProt:Q9H668
Protein_UniProt:Q9BRG1
Protein_UniProt:Q7L2E3
Protein_UniProt:Q5THJ4
Protein_UniProt:Q96G74
Protein_UniProt:Q15054
Protein_UniProt:Q9UPN9
Protein_UniProt:P37108
Protein_UniProt:Q9NUL7
Protein_UniProt:Q86W50
Protein_UniProt:P49736
Protein_UniProt:P10412
Protein_UniProt:P30419
Protein_UniProt:P43897
Protein_UniProt:Q9HCE5
Protein_UniProt:O43913
Protein_UniProt:P53609
Protein_UniProt:Q9HAU5
Protein_UniProt:P13693
Protein_UniProt:Q06124
Protein_UniProt:Q9BTC0
Protein_UniProt:Q9P0I2
Protein_UniProt:O43929
Protein_UniProt:Q2VPK5
Protein_UniProt:Q8WWY3
Protein_UniProt:Q9UNP9
Protein_UniProt:Q9Y3D3
Protein_UniProt:P36404
Protein_UniProt:P82663
Protein_UniProt:P61024
Protein_UniProt:P57076
Protein_UniProt:Q06830
Protein_UniProt:P26196
Protein_UniProt:Q8WU10
Protein_UniProt:Q8NC60
Protein_UniProt:P61956
Protein_UniProt:Q6PI48
Protein_UniProt:Q15126
Protein_UniProt:Q9NWA0
Protein_UniProt:Q9Y3C6
Protein_UniProt:Q8N1G2
Protein_UniProt:Q99471
Protein_UniProt:Q13889
Protein_UniProt:O43482
Protein_UniProt:Q9BVC3
Protein_UniProt:Q9NRN7
Protein_UniProt:Q13057
Protein_UniProt:P43487
Protein_UniProt:P49959
Protein_UniProt:Q9BYD1
Protein_UniProt:Q9H0W8
Protein_UniProt:Q10570
Protein_UniProt:Q96SY0
Protein_UniProt:Q6UXN9
Protein_UniProt:Q9NS56
Protein_UniProt:P53602
Protein_UniProt:Q96MX6
Protein_UniProt:P63167
Protein_UniProt:Q9H6Y2
Protein_UniProt:Q9BQC6
Protein_UniProt:Q70CQ2
Protein_UniProt:P49356
Protein_UniProt:O95639
Protein_UniProt:P10599
Protein_UniProt:Q9Y294
Protein_UniProt:P0CG13
Protein_UniProt:P43243
Protein_UniProt:O43809
Protein_UniProt:Q9GZN1
Protein_UniProt:O43581
Protein_UniProt:Q15047
Protein_UniProt:Q9NVR2
Protein_UniProt:Q9NPF4
Protein_UniProt:Q70HW3
Protein_UniProt:O14893
Protein_UniProt:Q8TEQ8
Protein_UniProt:Q5JPH6
Protein_UniProt:Q8IWT0
Protein_UniProt:Q92990
Protein_UniProt:Q99986
Protein_UniProt:P46100
Protein_UniProt:Q8TEA8
Protein_UniProt:O14735
Protein_UniProt:P55199
Protein_UniProt:Q9H672
Protein_UniProt:P22570
Protein_UniProt:Q9HBM0
Protein_UniProt:Q9UPQ8
Protein_UniProt:Q13148
Protein_UniProt:Q96RR1
Protein_UniProt:Q86SX3
Protein_UniProt:Q96CW1
Protein_UniProt:Q12972
Protein_UniProt:Q9NWZ8
Protein_UniProt:Q15181
Protein_UniProt:Q9Y3I0
Protein_UniProt:P62633
Protein_UniProt:P23919
Protein_UniProt:Q03426
Protein_UniProt:O43829
Protein_UniProt:P49411
Protein_UniProt:Q16629
Protein_UniProt:Q9GZS1
Protein_UniProt:Q86XP3
Protein_UniProt:Q969H6
Protein_UniProt:O75925
Protein_UniProt:P61289
Protein_UniProt:Q9P2K8
Protein_UniProt:Q13888
Protein_UniProt:O75928
Protein_UniProt:Q9H8E8
Protein_UniProt:Q9Y2X0
Protein_UniProt:O60341
Protein_UniProt:Q15543
Protein_UniProt:Q9UPR3
Protein_UniProt:Q7Z6V5
Protein_UniProt:O60264
Protein_UniProt:O43542
Protein_UniProt:Q9UBW7
Protein_UniProt:P15622
Protein_UniProt:Q7Z589
Protein_UniProt:P62072
Protein_UniProt:Q9UHB4
Protein_UniProt:Q15233
Protein_UniProt:Q12830
Protein_UniProt:Q14669
Protein_UniProt:Q9Y6J0
Protein_UniProt:P54198
