MRPS5	MRPS27
MRPS25	MRPS2
MRPS25	MRPS27
MRPS2	MRPS27
AATF	NGDN
AATF	NOL10
NGDN	NOL10
SRP72	SRP54
SRP72	SRP19
SRP54	SRP19
nsp9	GTF2F2
nsp9	FBN1
nsp9	FBN2
nsp9	NUP214
nsp9	NUP62
nsp9	DCAF7
nsp9	EIF4H
nsp9	NUP54
nsp9	MIB1
nsp9	SPART
nsp9	NEK9
nsp9	ZNF503
nsp9	NUP88
nsp9	NUP58
nsp9	MAT2B
nsp9	FBLN5
NUP62	NUP214
NUP62	NUP58
NUP62	NUP88
NUP62	NUP54
NUP214	NUP58
NUP214	NUP88
NUP214	NUP54
NUP58	NUP88
NUP58	NUP54
NUP88	NUP54
FBN1	FBN2
FBN1	FBLN5
FBN2	FBLN5
ZNF503	DCAF7
orf10	PPT1
orf10	CUL2
orf10	MAP7D1
orf10	THTPA
orf10	ZYG11B
orf10	TIMM8B
orf10	RBX1
orf10	ELOC
orf10	ELOB
ZYG11B	ELOC
ZYG11B	ELOB
ZYG11B	RBX1
ZYG11B	CUL2
ELOC	ELOB
ELOC	RBX1
ELOC	CUL2
ELOB	RBX1
ELOB	CUL2
RBX1	CUL2
orf3a	HMOX1
orf3a	TRIM59
orf3a	ARL6IP6
orf3a	VPS39
orf3a	CLCC1
orf3a	VPS11
orf3a	SUN2
orf3a	ALG5
VPS39	VPS11
orf3b	STOML2
orf6	NUP98
orf6	RAE1
orf6	MTCH1
NUP98	RAE1
orf7a	HEATR3
orf7a	MDN1
orf8	PLOD2
orf8	TOR1A
orf8	STC2
orf8	PLAT
orf8	ITGB1
orf8	CISD3
orf8	COL6A1
orf8	PVR
orf8	DNMT1
orf8	LOX
orf8	PCSK6
orf8	INHBE
orf8	NPC2
orf8	MFGE8
orf8	OS9
orf8	NPTX1
orf8	POGLUT2
orf8	POGLUT3
orf8	ERO1B
orf8	PLD3
orf8	FOXRED2
orf8	CHPF
orf8	PUSL1
orf8	EMC1
orf8	GGH
orf8	ERLEC1
orf8	IL17RA
orf8	NGLY1
orf8	HS6ST2
orf8	SDF2
orf8	NEU1
orf8	GDF15
orf8	TM2D3
orf8	ERP44
orf8	EDEM3
orf8	SIL1
orf8	POFUT1
orf8	SMOC1
orf8	PLEKHF2
orf8	FBXL12
orf8	UGGT2
orf8	CHPF2
orf8	ADAMTS1
orf8	HYOU1
orf8	FKBP7
orf8	ADAM9
orf8	FKBP10
EDEM3	ERLEC1
EDEM3	OS9
EDEM3	UGGT2
EDEM3	ERO1B
EDEM3	SIL1
EDEM3	HYOU1
EDEM3	NGLY1
EDEM3	TOR1A
EDEM3	FOXRED2
EDEM3	SDF2
ERLEC1	OS9
ERLEC1	UGGT2
ERLEC1	ERO1B
ERLEC1	SIL1
ERLEC1	HYOU1
ERLEC1	NGLY1
ERLEC1	TOR1A
ERLEC1	FOXRED2
ERLEC1	SDF2
OS9	UGGT2
OS9	ERO1B
OS9	SIL1
OS9	HYOU1
OS9	NGLY1
OS9	TOR1A
OS9	FOXRED2
OS9	SDF2
UGGT2	ERO1B
UGGT2	SIL1
UGGT2	HYOU1
UGGT2	NGLY1
UGGT2	TOR1A
UGGT2	FOXRED2
UGGT2	SDF2
ERO1B	SIL1
ERO1B	HYOU1
ERO1B	NGLY1
ERO1B	TOR1A
ERO1B	FOXRED2
ERO1B	SDF2
SIL1	HYOU1
SIL1	NGLY1
SIL1	TOR1A
SIL1	FOXRED2
SIL1	SDF2
HYOU1	NGLY1
HYOU1	TOR1A
HYOU1	FOXRED2
HYOU1	SDF2
NGLY1	TOR1A
NGLY1	FOXRED2
NGLY1	SDF2
TOR1A	FOXRED2
TOR1A	SDF2
FOXRED2	SDF2
HS6ST2	CHPF
HS6ST2	CHPF2
CHPF	CHPF2
ITGB1	ADAM9
ITGB1	LOX
ITGB1	PLOD2
ITGB1	COL6A1
ADAM9	LOX
ADAM9	PLOD2
ADAM9	COL6A1
LOX	PLOD2
LOX	COL6A1
PLOD2	COL6A1
POGLUT3	POGLUT2
POGLUT3	POFUT1
POGLUT2	POFUT1
orf9b	SLC9A3R1
orf9b	CHMP2A
orf9b	CSDE1
orf9b	TOMM70
orf9b	MARK3
orf9b	MARK2
orf9b	DPH5
orf9b	DCTPP1
orf9b	MARK1
orf9b	PTBP2
orf9b	BAG5
MARK1	MARK2
MARK1	MARK3
MARK2	MARK3
orf9c	UBXN8
orf9c	GPAA1
orf9c	WFS1
orf9c	ABCC1
orf9c	F2RL1
orf9c	SCAP
orf9c	DPY19L1
orf9c	SIGMAR2
orf9c	SLC30A6
orf9c	TAPT1
orf9c	ERMP1
orf9c	NLRX1
orf9c	RETREG3
orf9c	PIGO
orf9c	FAR2
orf9c	ECSIT
orf9c	ALG8
orf9c	TMEM39B
orf9c	GHITM
orf9c	ACAD9
orf9c	NDFIP2
orf9c	BCS1L
orf9c	NDUFAF1
orf9c	TMED5
orf9c	NDUFB9
orf9c	PIGS
NDUFAF1	NDUFB9
NDUFAF1	ECSIT
NDUFAF1	ACAD9
NDUFB9	ECSIT
NDUFB9	ACAD9
ECSIT	ACAD9
GPAA1	PIGS
